year,month,rank_ME,rank_SP,nstocks,ret_vw
1967,1,1,1,32,14.8385
1967,1,1,2,46,15.9154
1967,1,1,3,67,17.7207
1967,1,1,4,101,19.8396
1967,1,1,5,189,19.6336
1967,1,2,1,37,14.1778
1967,1,2,2,35,14.4862
1967,1,2,3,56,17.5467
1967,1,2,4,69,16.3575
1967,1,2,5,63,17.5978
1967,1,3,1,153,5.6412
1967,1,3,2,133,8.5318
1967,1,3,3,104,8.6153
1967,1,3,4,69,11.4313
1967,1,3,5,53,13.9558
1967,2,1,1,31,5.4662
1967,2,1,2,46,7.5255
1967,2,1,3,67,5.6656
1967,2,1,4,101,3.3023
1967,2,1,5,189,4.9323
1967,2,2,1,37,4.7957
1967,2,2,2,35,-0.7817
1967,2,2,3,56,1.8748
1967,2,2,4,69,2.3954
1967,2,2,5,63,2.6763
1967,2,3,1,153,2.0764
1967,2,3,2,133,-0.7939
1967,2,3,3,104,1.2670
1967,2,3,4,69,-0.3693
1967,2,3,5,53,1.7375
1967,3,1,1,32,12.0571
1967,3,1,2,46,5.7008
1967,3,1,3,67,7.2679
1967,3,1,4,101,8.0691
1967,3,1,5,189,5.0871
1967,3,2,1,37,4.9119
1967,3,2,2,35,3.4376
1967,3,2,3,56,7.7948
1967,3,2,4,69,7.5185
1967,3,2,5,63,6.1983
1967,3,3,1,153,3.7495
1967,3,3,2,133,4.3845
1967,3,3,3,104,4.4868
1967,3,3,4,69,6.5822
1967,3,3,5,53,6.1848
1967,4,1,1,32,7.3018
1967,4,1,2,46,3.8462
1967,4,1,3,67,4.9387
1967,4,1,4,101,6.0185
1967,4,1,5,189,3.4937
1967,4,2,1,37,4.5125
1967,4,2,2,35,4.6950
1967,4,2,3,56,4.1257
1967,4,2,4,69,3.6225
1967,4,2,5,63,4.8830
1967,4,3,1,153,3.2771
1967,4,3,2,133,6.4086
1967,4,3,3,104,3.8316
1967,4,3,4,69,3.9032
1967,4,3,5,53,4.1741
1967,5,1,1,32,-0.9746
1967,5,1,2,46,1.2172
1967,5,1,3,67,1.5027
1967,5,1,4,101,-0.7897
1967,5,1,5,189,1.1574
1967,5,2,1,37,-3.6236
1967,5,2,2,35,-1.9455
1967,5,2,3,56,-2.0551
1967,5,2,4,69,-1.8216
1967,5,2,5,63,-1.9934
1967,5,3,1,153,-4.6061
1967,5,3,2,133,-5.1768
1967,5,3,3,104,-4.5225
1967,5,3,4,69,-2.6187
1967,5,3,5,53,-2.0852
1967,6,1,1,32,15.1513
1967,6,1,2,46,10.7174
1967,6,1,3,67,11.8626
1967,6,1,4,101,14.4411
1967,6,1,5,189,10.4160
1967,6,2,1,37,7.8323
1967,6,2,2,35,2.9335
1967,6,2,3,56,7.3270
1967,6,2,4,69,7.1434
1967,6,2,5,63,9.0549
1967,6,3,1,153,1.4977
1967,6,3,2,133,1.0310
1967,6,3,3,104,2.1088
1967,6,3,4,69,5.4915
1967,6,3,5,52,5.2126
1967,7,1,1,53,12.1455
1967,7,1,2,47,6.4194
1967,7,1,3,97,8.3238
1967,7,1,4,133,9.3002
1967,7,1,5,285,10.6163
1967,7,2,1,47,3.7324
1967,7,2,2,47,7.1948
1967,7,2,3,69,6.9495
1967,7,2,4,71,8.9280
1967,7,2,5,72,9.3048
1967,7,3,1,164,1.2678
1967,7,3,2,146,7.3183
1967,7,3,3,104,6.0427
1967,7,3,4,78,7.0092
1967,7,3,5,43,7.8158
1967,8,1,1,53,1.2135
1967,8,1,2,47,-0.1669
1967,8,1,3,97,0.9329
1967,8,1,4,133,0.3020
1967,8,1,5,285,0.7945
1967,8,2,1,47,-2.3778
1967,8,2,2,47,0.3203
1967,8,2,3,69,0.8255
1967,8,2,4,71,0.4078
1967,8,2,5,72,-0.2849
1967,8,3,1,164,-0.8642
1967,8,3,2,146,-1.1106
1967,8,3,3,104,0.2502
1967,8,3,4,78,-0.6616
1967,8,3,5,42,0.2976
1967,9,1,1,52,9.1912
1967,9,1,2,47,9.2461
1967,9,1,3,97,9.3393
1967,9,1,4,133,8.0185
1967,9,1,5,284,8.1450
1967,9,2,1,47,4.4789
1967,9,2,2,47,5.1590
1967,9,2,3,69,3.8644
1967,9,2,4,71,2.8243
1967,9,2,5,72,4.6976
1967,9,3,1,164,3.6853
1967,9,3,2,146,2.8308
1967,9,3,3,104,3.8460
1967,9,3,4,78,1.9330
1967,9,3,5,42,3.7278
1967,10,1,1,52,1.1601
1967,10,1,2,47,-1.5675
1967,10,1,3,97,-2.2396
1967,10,1,4,133,-0.7299
1967,10,1,5,285,-2.1609
1967,10,2,1,47,-3.9325
1967,10,2,2,47,-4.2315
1967,10,2,3,68,-4.9030
1967,10,2,4,71,-3.9650
1967,10,2,5,72,-1.4446
1967,10,3,1,165,-1.0187
1967,10,3,2,146,-3.5204
1967,10,3,3,104,-4.1156
1967,10,3,4,78,-4.1951
1967,10,3,5,41,-2.1618
1967,11,1,1,52,-2.6430
1967,11,1,2,47,-0.1511
1967,11,1,3,97,1.5153
1967,11,1,4,133,0.7581
1967,11,1,5,285,0.0384
1967,11,2,1,47,2.4585
1967,11,2,2,47,0.7678
1967,11,2,3,68,0.2347
1967,11,2,4,71,0.0229
1967,11,2,5,71,0.8615
