year,month,rank_ME,rank_SPq_6,nstocks,ret_vw
1967,1,1,1,38,17.2142
1967,1,1,2,45,20.6476
1967,1,1,3,74,20.8082
1967,1,1,4,101,19.1026
1967,1,1,5,234,21.2529
1967,1,2,1,28,7.3414
1967,1,2,2,40,16.6589
1967,1,2,3,56,18.7178
1967,1,2,4,56,18.4431
1967,1,2,5,66,17.4664
1967,1,3,1,154,5.6000
1967,1,3,2,127,7.8630
1967,1,3,3,90,9.2980
1967,1,3,4,78,11.8400
1967,1,3,5,42,15.5563
1967,2,1,1,49,5.5470
1967,2,1,2,70,5.4907
1967,2,1,3,106,4.1632
1967,2,1,4,150,4.4951
1967,2,1,5,263,4.5201
1967,2,2,1,37,1.3106
1967,2,2,2,52,2.6182
1967,2,2,3,78,1.7977
1967,2,2,4,81,1.1145
1967,2,2,5,81,2.1197
1967,2,3,1,165,2.1141
1967,2,3,2,158,-0.8740
1967,2,3,3,116,0.9417
1967,2,3,4,99,0.8276
1967,2,3,5,51,1.5839
1967,3,1,1,52,12.3864
1967,3,1,2,83,5.3631
1967,3,1,3,125,8.1648
1967,3,1,4,178,8.4214
1967,3,1,5,279,5.0414
1967,3,2,1,42,5.1481
1967,3,2,2,63,5.8028
1967,3,2,3,84,7.3513
1967,3,2,4,87,7.5551
1967,3,2,5,88,5.7763
1967,3,3,1,169,3.8487
1967,3,3,2,163,4.6442
1967,3,3,3,129,4.5957
1967,3,3,4,110,4.9389
1967,3,3,5,57,7.0313
1967,4,1,1,54,5.3177
1967,4,1,2,93,4.3248
1967,4,1,3,138,5.4052
1967,4,1,4,195,3.0600
1967,4,1,5,297,5.6218
1967,4,2,1,48,4.0136
1967,4,2,2,74,2.6214
1967,4,2,3,90,5.1308
1967,4,2,4,91,5.0219
1967,4,2,5,90,3.5662
1967,4,3,1,172,3.3062
1967,4,3,2,172,5.3672
1967,4,3,3,139,4.7994
1967,4,3,4,114,4.4457
1967,4,3,5,61,4.2967
1967,5,1,1,70,1.7123
1967,5,1,2,108,-0.6744
1967,5,1,3,158,0.6641
1967,5,1,4,220,-0.9332
1967,5,1,5,316,0.2217
1967,5,2,1,56,-1.2537
1967,5,2,2,83,-3.7985
1967,5,2,3,105,-2.3842
1967,5,2,4,102,-2.2760
1967,5,2,5,98,-0.4584
1967,5,3,1,185,-5.0146
1967,5,3,2,184,-4.9104
1967,5,3,3,152,-4.5306
1967,5,3,4,129,-2.3565
1967,5,3,5,80,-3.0895
1967,6,1,1,71,11.6421
1967,6,1,2,118,10.0684
1967,6,1,3,167,13.3067
1967,6,1,4,234,10.5742
1967,6,1,5,323,11.4609
1967,6,2,1,59,8.6099
1967,6,2,2,93,4.8581
1967,6,2,3,110,8.6647
1967,6,2,4,110,7.2787
1967,6,2,5,101,6.8002
1967,6,3,1,190,1.6414
1967,6,3,2,187,1.1506
1967,6,3,3,161,2.5623
1967,6,3,4,132,3.9382
1967,6,3,5,82,4.9753
1967,7,1,1,71,10.4064
1967,7,1,2,121,6.8510
1967,7,1,3,166,9.3594
1967,7,1,4,228,10.1006
1967,7,1,5,302,9.6372
1967,7,2,1,62,5.3384
1967,7,2,2,94,7.0843
1967,7,2,3,110,8.0782
1967,7,2,4,109,8.2773
1967,7,2,5,99,9.5247
1967,7,3,1,185,0.8439
1967,7,3,2,185,7.1693
1967,7,3,3,160,6.4497
1967,7,3,4,125,6.7158
1967,7,3,5,80,7.0993
1967,8,1,1,86,-1.4183
