year,month,rank_ME,rank_VFP,nstocks,ret_vw
1976,7,1,1,1,-3.4091
1976,7,1,2,2,-8.1235
1976,7,1,3,4,0.4977
1976,7,1,4,1,-8.0645
1976,7,1,5,6,2.1586
1976,7,2,1,2,-1.6044
1976,7,2,2,12,-3.2375
1976,7,2,3,7,-3.2052
1976,7,2,4,9,-0.5278
1976,7,2,5,22,1.1162
1976,7,3,1,67,-2.0284
1976,7,3,2,61,-1.5979
1976,7,3,3,63,-1.9693
1976,7,3,4,59,-0.6979
1976,7,3,5,47,-0.3977
1976,8,1,1,1,-11.7647
1976,8,1,2,2,-15.0087
1976,8,1,3,4,-3.7734
1976,8,1,4,1,6.1909
1976,8,1,5,6,-5.6128
1976,8,2,1,2,-9.4025
1976,8,2,2,12,-5.8013
1976,8,2,3,7,0.1125
1976,8,2,4,9,-2.4965
1976,8,2,5,22,-3.2586
1976,8,3,1,67,0.1726
1976,8,3,2,61,-2.2353
1976,8,3,3,63,-1.2482
1976,8,3,4,59,0.0235
1976,8,3,5,47,-0.4915
1976,9,1,1,1,-25.3333
1976,9,1,2,2,14.9541
1976,9,1,3,4,4.9714
1976,9,1,4,0,
1976,9,1,5,6,-0.3765
1976,9,2,1,2,-3.7969
1976,9,2,2,11,3.3774
1976,9,2,3,7,0.5742
1976,9,2,4,9,5.2708
1976,9,2,5,22,4.0510
1976,9,3,1,67,1.9353
1976,9,3,2,61,2.0688
1976,9,3,3,63,0.7906
1976,9,3,4,59,3.7008
1976,9,3,5,47,6.0243
1976,10,1,1,1,3.5714
1976,10,1,2,2,-5.5202
1976,10,1,3,4,-2.7059
1976,10,1,4,1,-8.1967
1976,10,1,5,6,-3.5318
1976,10,2,1,2,0.7679
1976,10,2,2,12,-4.5532
1976,10,2,3,7,-3.8103
1976,10,2,4,9,-1.4855
1976,10,2,5,22,-4.3172
1976,10,3,1,67,-3.1817
1976,10,3,2,61,-2.6464
1976,10,3,3,63,-2.1352
1976,10,3,4,59,-2.4788
1976,10,3,5,47,-1.2516
1976,11,1,1,1,-6.8966
1976,11,1,2,2,9.8277
1976,11,1,3,4,25.8765
1976,11,1,4,1,-6.1771
1976,11,1,5,6,5.8824
1976,11,2,1,2,-4.6624
1976,11,2,2,11,2.0626
1976,11,2,3,7,8.7118
1976,11,2,4,9,8.2565
1976,11,2,5,22,3.7216
1976,11,3,1,67,-2.7149
1976,11,3,2,61,0.3371
1976,11,3,3,63,-0.9286
1976,11,3,4,59,1.9303
1976,11,3,5,47,1.6492
1976,12,1,1,1,25.9259
1976,12,1,2,1,21.1538
1976,12,1,3,4,6.9606
1976,12,1,4,1,21.1538
1976,12,1,5,6,7.2329
1976,12,2,1,2,13.6294
1976,12,2,2,12,10.7465
1976,12,2,3,7,8.0379
1976,12,2,4,9,12.0552
1976,12,2,5,22,9.0068
