year,month,rank_ME,rank_VHP,nstocks,ret_vw
1967,1,1,1,19,19.9907
1967,1,1,2,11,20.6761
1967,1,1,3,15,18.1794
1967,1,1,4,18,18.2577
1967,1,1,5,40,16.1520
1967,1,2,1,6,16.2474
1967,1,2,2,11,13.1755
1967,1,2,3,16,14.6300
1967,1,2,4,21,18.9118
1967,1,2,5,38,15.6822
1967,1,3,1,75,6.0690
1967,1,3,2,68,5.5307
1967,1,3,3,65,5.0633
1967,1,3,4,56,11.8379
1967,1,3,5,30,14.7733
1967,2,1,1,19,9.1450
1967,2,1,2,11,2.2995
1967,2,1,3,15,-0.0065
1967,2,1,4,18,3.6730
1967,2,1,5,40,2.5470
1967,2,2,1,6,0.9567
1967,2,2,2,11,5.5223
1967,2,2,3,16,-0.6243
1967,2,2,4,21,4.2201
1967,2,2,5,38,1.4207
1967,2,3,1,75,3.4676
1967,2,3,2,68,-0.1011
1967,2,3,3,65,-0.4360
1967,2,3,4,56,-1.5751
1967,2,3,5,30,-1.3278
1967,3,1,1,19,5.9542
1967,3,1,2,11,9.3631
1967,3,1,3,15,12.0572
1967,3,1,4,18,5.8507
1967,3,1,5,40,6.3966
1967,3,2,1,6,8.4380
1967,3,2,2,11,3.8858
1967,3,2,3,16,7.4579
1967,3,2,4,21,4.9802
1967,3,2,5,38,5.1939
1967,3,3,1,75,3.2116
1967,3,3,2,68,3.3410
1967,3,3,3,65,3.9599
1967,3,3,4,56,4.8898
1967,3,3,5,30,7.8354
1967,4,1,1,19,6.4632
1967,4,1,2,11,10.6384
1967,4,1,3,15,-1.3829
1967,4,1,4,18,10.6817
1967,4,1,5,40,5.3751
1967,4,2,1,6,0.4222
1967,4,2,2,11,0.1946
1967,4,2,3,16,-2.1410
1967,4,2,4,21,5.8989
1967,4,2,5,38,5.2603
1967,4,3,1,75,5.8440
1967,4,3,2,68,0.4604
1967,4,3,3,65,2.0997
1967,4,3,4,56,6.9575
1967,4,3,5,30,4.7312
1967,5,1,1,19,1.5219
1967,5,1,2,11,-2.8648
1967,5,1,3,15,1.4587
1967,5,1,4,18,-2.0361
1967,5,1,5,40,-0.4031
1967,5,2,1,6,-1.1189
1967,5,2,2,11,-4.6377
1967,5,2,3,16,1.1374
1967,5,2,4,21,-5.6292
1967,5,2,5,38,-2.0041
