year,month,rank_ME,nstocks,ret_vw
1967,1,1,722,20.0461
1967,1,2,180,16.7416
1967,1,3,140,18.7577
1967,1,4,134,17.4439
1967,1,5,125,13.2078
1967,1,6,125,13.9503
1967,1,7,122,10.7845
1967,1,8,119,9.1983
1967,1,9,119,8.6352
1967,1,10,117,6.9899
1967,2,1,720,6.0922
1967,2,2,180,4.7787
1967,2,3,139,1.5439
1967,2,4,134,2.8807
1967,2,5,124,2.2469
1967,2,6,126,0.8920
1967,2,7,122,2.0519
1967,2,8,119,0.3584
1967,2,9,119,0.9453
1967,2,10,117,0.9284
1967,3,1,718,7.2642
1967,3,2,180,7.4596
1967,3,3,138,5.7304
1967,3,4,134,6.9702
1967,3,5,124,5.4052
1967,3,6,126,6.0938
1967,3,7,122,5.6874
1967,3,8,119,5.1692
1967,3,9,119,4.4757
1967,3,10,117,3.9404
1967,4,1,713,5.2631
1967,4,2,180,3.4131
1967,4,3,138,3.9158
1967,4,4,133,3.4532
1967,4,5,124,3.9157
1967,4,6,126,4.6154
1967,4,7,121,4.2691
1967,4,8,119,5.0578
1967,4,9,119,2.9811
1967,4,10,117,4.5532
1967,5,1,708,-0.2055
1967,5,2,180,-0.1939
1967,5,3,138,-1.1723
1967,5,4,132,-1.6777
1967,5,5,124,-1.9221
1967,5,6,125,-0.4485
1967,5,7,121,-0.8705
1967,5,8,119,-2.4968
1967,5,9,119,-3.8298
1967,5,10,117,-5.0923
1967,6,1,702,14.0903
1967,6,2,180,9.9705
1967,6,3,138,7.0781
1967,6,4,130,8.1569
1967,6,5,119,6.1988
1967,6,6,124,5.4858
1967,6,7,119,4.3293
1967,6,8,118,3.4401
1967,6,9,119,2.2723
1967,6,10,117,1.3997
1967,7,1,702,10.0473
1967,7,2,206,8.6068
1967,7,3,169,8.7133
1967,7,4,142,7.2004
1967,7,5,139,6.1145
1967,7,6,128,6.1752
1967,7,7,123,5.1343
1967,7,8,122,5.7204
1967,7,9,118,5.4153
1967,7,10,117,4.0272
1967,8,1,694,1.0025
1967,8,2,204,-0.2704
1967,8,3,168,0.4313
1967,8,4,140,-1.4359
1967,8,5,138,0.0387
1967,8,6,127,0.1072
1967,8,7,121,0.2359
1967,8,8,122,-0.6947
1967,8,9,118,-0.5285
1967,8,10,117,-0.8827
1967,9,1,690,9.0572
1967,9,2,204,7.4833
1967,9,3,168,6.1041
1967,9,4,140,4.3830
1967,9,5,136,3.4247
1967,9,6,127,4.0381
1967,9,7,120,4.6606
1967,9,8,121,1.5517
1967,9,9,118,2.1214
1967,9,10,117,3.4751
1967,10,1,685,-1.1642
1967,10,2,203,-2.4306
1967,10,3,167,-3.1707
1967,10,4,139,-1.9941
1967,10,5,135,-3.6633
1967,10,6,127,-2.0454
1967,10,7,117,-3.8671
1967,10,8,120,-5.5924
1967,10,9,119,-4.7374
1967,10,10,117,-1.7538
1967,11,1,681,-0.8010
1967,11,2,201,1.2122
1967,11,3,163,0.7219
1967,11,4,136,1.0821
1967,11,5,134,1.3431
1967,11,6,127,0.9178
1967,11,7,117,1.3750
1967,11,8,121,1.2224
1967,11,9,119,0.4440
1967,11,10,116,0.7243
1967,12,1,673,11.3910
1967,12,2,201,9.1416
1967,12,3,163,8.7635
1967,12,4,136,7.4498
1967,12,5,134,6.1808
1967,12,6,126,6.0263
1967,12,7,116,3.5528
1967,12,8,121,2.6939
1967,12,9,119,2.6882
1967,12,10,116,2.3929
1968,1,1,666,4.9196
1968,1,2,200,0.3098
1968,1,3,163,0.2707
1968,1,4,135,-1.3883
1968,1,5,134,-1.3392
1968,1,6,126,-3.3219
1968,1,7,113,-2.9311
1968,1,8,121,-3.8272
1968,1,9,119,-3.7486
1968,1,10,116,-4.5862
1968,2,1,661,-7.8036
1968,2,2,197,-5.8767
1968,2,3,161,-5.8104
1968,2,4,132,-6.2868
1968,2,5,129,-3.1811
